timestamp,row_index,feature,raw_values,scaled_values,rule_triggered,rule_details,model_triggered,model_score,model_prediction,severity,suggestion
"2025-09-25 03:15:00","145","pressure","{""temp"": 46.29371448323785, ""pressure"": 1.1529801214952335, ""vibration"": 0.0325841308700864}","{""temp"": -0.48326687782374267, ""pressure"": 4.809501757819637, ""vibration"": -0.0619416001644318}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.025227","1","high","""Inspect pumps and valves."""
"2025-09-25 03:18:00","148","vibration","{""temp"": 46.95327926843229, ""pressure"": 1.0449656397410216, ""vibration"": 0.2076770621550088}","{""temp"": -0.22189846503186908, ""pressure"": 0.7665081393953719, ""vibration"": 6.169568810728446}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.117728","-1","medium","""Check bearings and mounting."""
"2025-09-25 03:21:00","151","vibration","{""temp"": 49.4402769326539, ""pressure"": 1.0487003101230976, ""vibration"": 0.2245810661082307}","{""temp"": 0.7636341872656183, ""pressure"": 0.9062972517109759, ""vibration"": 6.7711777725937585}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.130629","-1","medium","""Check bearings and mounting."""
"2025-09-25 03:28:00","158","temp","{""temp"": 58.52795125664736, ""pressure"": 1.013602289436922, ""vibration"": 0.0371126276781076}","{""temp"": 4.364843753557749, ""pressure"": -0.4074254209249754, ""vibration"": 0.09922638530357603}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.001986","1","high","""Check cooling system."""
"2025-09-25 03:29:00","159","pressure","{""temp"": 48.693796897606354, ""pressure"": 0.8655521722478392, ""vibration"": 0.0234783610436685}","{""temp"": 0.46782351586404863, ""pressure"": -5.948957160756578, ""vibration"": -0.3860135033309968}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.022876","-1","high","""Inspect pumps and valves."""
"2025-09-25 03:35:00","165","vibration","{""temp"": 46.916137096009045, ""pressure"": 1.009400057766128, ""vibration"": 0.1161797058866064}","{""temp"": -0.23661694435614608, ""pressure"": -0.5647154023445138, ""vibration"": 2.9132024687433855}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.018179","-1","medium","""Check bearings and mounting."""
"2025-09-25 03:38:00","168","temp","{""temp"": 54.837330528193434, ""pressure"": 0.992228578250392, ""vibration"": 0.031699211565021}","{""temp"": 2.902346507395004, ""pressure"": -1.207445719368104, ""vibration"": -0.09343564062539012}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.043923","1","high","""Check cooling system."""
"2025-09-25 04:01:00","191","temp","{""temp"": 57.65172767331816, ""pressure"": 0.9989918965994012, ""vibration"": 0.0407997950811528}","{""temp"": 4.017619080005709, ""pressure"": -0.9542939893377019, ""vibration"": 0.23045168315064896}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.005874","-1","high","""Check cooling system."""
"2025-09-25 04:04:00","194","vibration","{""temp"": 45.80135664537852, ""pressure"": 1.0144190121041203, ""vibration"": 0.2653268215269821}","{""temp"": -0.6783755153611376, ""pressure"": -0.37685540403577117, ""vibration"": 8.221308267459195}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.133776","-1","medium","""Check bearings and mounting."""
"2025-09-25 04:05:00","195","vibration","{""temp"": 46.134601769057106, ""pressure"": 1.017439402185816, ""vibration"": 0.1684449994621209}","{""temp"": -0.5463191184738677, ""pressure"": -0.2638018798496847, ""vibration"": 4.773310233540612}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.081141","-1","medium","""Check bearings and mounting."""
"2025-09-25 04:23:00","213","vibration","{""temp"": 48.93795212621962, ""pressure"": 1.0250443256381925, ""vibration"": 0.2170600867276296}","{""temp"": 0.5645758986624629, ""pressure"": 0.02085121932018044, ""vibration"": 6.5035081358677544}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.107570","-1","medium","""Check bearings and mounting."""
"2025-09-25 04:37:00","227","vibration","{""temp"": 47.75383660006104, ""pressure"": 1.013552853477952, ""vibration"": 0.1829303286160133}","{""temp"": 0.09534163603723249, ""pressure"": -0.4092758141629044, ""vibration"": 5.288839208726965}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.086748","-1","medium","""Check bearings and mounting."""
"2025-09-25 04:42:00","232","temp","{""temp"": 59.715292396559896, ""pressure"": 1.0282570618752465, ""vibration"": 0.0358741017599101}","{""temp"": 4.83535624322917, ""pressure"": 0.141104280698065, ""vibration"": 0.05514758042681402}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.036879","-1","high","""Check cooling system."""
"2025-09-25 05:19:00","269","vibration","{""temp"": 45.10688521084926, ""pressure"": 1.0250984432783494, ""vibration"": 0.2451274553985205}","{""temp"": -0.9535765276751845, ""pressure"": 0.022876848386258777, ""vibration"": 7.502418250602274}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.133828","-1","medium","""Check bearings and mounting."""
"2025-09-25 05:38:00","288","pressure","{""temp"": 47.78694640551827, ""pressure"": 0.9478848613886496, ""vibration"": 0.0289646447252483}","{""temp"": 0.10846219294757845, ""pressure"": -2.8672357898995147, ""vibration"": -0.19075814020475154}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.092453","1","high","""Inspect pumps and valves."""
"2025-09-25 05:47:00","297","pressure","{""temp"": 49.01616799421041, ""pressure"": 0.9011913975505258, ""vibration"": 0.0218901840554871}","{""temp"": 0.5955708179346697, ""pressure"": -4.614977141371558, ""vibration"": -0.4425362959050058}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.000121","-1","high","""Inspect pumps and valves."""
"2025-09-25 05:59:00","309","temp","{""temp"": 42.38211703086735, ""pressure"": 1.0344154057313848, ""vibration"": 0.0301901202821378}","{""temp"": -2.03333146671082, ""pressure"": 0.37161175067866975, ""vibration"": -0.14714379418283838}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.130254","1","high","""Check cooling system."""
"2025-09-25 06:15:00","325","temp","{""temp"": 55.59318151552817, ""pressure"": 1.0165081360562396, ""vibration"": 0.0389136769247895}","{""temp"": 3.20187064407039, ""pressure"": -0.29865927080120125, ""vibration"": 0.1633252444000969}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.048445","1","high","""Check cooling system."""
"2025-09-25 06:26:00","336","vibration","{""temp"": 45.49988918004751, ""pressure"": 1.0299734502706377, ""vibration"": 0.1650029738327827}","{""temp"": -0.7978392506767308, ""pressure"": 0.2053488821311837, ""vibration"": 4.650809465597685}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.077274","-1","medium","""Check bearings and mounting."""
"2025-09-25 06:45:00","355","pressure","{""temp"": 47.58053267706331, ""pressure"": 0.9500328692057568, ""vibration"": 0.0226787414489029}","{""temp"": 0.026665787506039335, ""pressure"": -2.786835627293066, ""vibration"": -0.4144717500058862}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.082465","1","high","""Inspect pumps and valves."""
"2025-09-25 06:48:00","358","pressure","{""temp"": 47.42717215537313, ""pressure"": 0.8294896003343772, ""vibration"": 0.0289487816313497}","{""temp"": -0.034107008493492144, ""pressure"": -7.298783089115555, ""vibration"": -0.1913227034572636}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.035604","-1","high","""Inspect pumps and valves."""
"2025-09-25 07:10:00","380","temp","{""temp"": 33.94035584854176, ""pressure"": 1.0441110235530868, ""vibration"": 0.0279693240538057}","{""temp"": -5.378582412365894, ""pressure"": 0.7345197639672986, ""vibration"": -0.22618133565162307}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.029056","-1","high","""Check cooling system."""
"2025-09-25 07:18:00","388","pressure","{""temp"": 45.58773415905127, ""pressure"": 1.102096081970584, ""vibration"": 0.0266784359310732}","{""temp"": -0.7630285645252861, ""pressure"": 2.9049067096673653, ""vibration"": -0.27212369732820907}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.086334","1","high","""Inspect pumps and valves."""
"2025-09-25 07:24:00","394","temp","{""temp"": 52.78938220711613, ""pressure"": 1.0415112611777488, ""vibration"": 0.0280793804881879}","{""temp"": 2.0907977192013467, ""pressure"": 0.6372103798716687, ""vibration"": -0.22226445670279543}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.122431","1","high","""Check cooling system."""
"2025-09-25 07:29:00","399","vibration","{""temp"": 47.23412661929048, ""pressure"": 1.0411972901602704, ""vibration"": 0.2462163993120703}","{""temp"": -0.11060594611885988, ""pressure"": 0.6254584110669305, ""vibration"": 7.541173472097319}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.138712","-1","medium","""Check bearings and mounting."""
"2025-09-25 07:31:00","401","pressure","{""temp"": 49.481098987486014, ""pressure"": 0.9412494931431328, ""vibration"": 0.0240072897857077}","{""temp"": 0.7798109085185984, ""pressure"": -3.1155983338550928, ""vibration"": -0.36718907142246787}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.048768","1","high","""Inspect pumps and valves."""
"2025-09-25 07:33:00","403","temp","{""temp"": 34.309423568845304, ""pressure"": 1.0362193524644068, ""vibration"": 0.0355001934496023}","{""temp"": -5.232330449808472, ""pressure"": 0.4391336700651946, ""vibration"": 0.04184028405965874}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.016536","-1","high","""Check cooling system."""
"2025-09-25 07:42:00","412","pressure","{""temp"": 45.456061747218754, ""pressure"": 1.206775181657961, ""vibration"": 0.0327554298814228}","{""temp"": -0.8152069252590199, ""pressure"": 6.823056620171934, ""vibration"": -0.05584511434581592}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.053025","-1","high","""Inspect pumps and valves."""
"2025-09-25 07:43:00","413","temp","{""temp"": 53.478498638150306, ""pressure"": 1.0048699793525795, ""vibration"": 0.0292296683975662}","{""temp"": 2.363876682559141, ""pressure"": -0.7342767224517021, ""vibration"": -0.1813260188674565}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.107556","1","high","""Check cooling system."""
"2025-09-25 07:51:00","421","temp","{""temp"": 37.7651536347842, ""pressure"": 1.045878831548075, ""vibration"": 0.0414878889525303}","{""temp"": -3.862914279256954, ""pressure"": 0.8006890065194213, ""vibration"": 0.25494075927550397}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.013134","1","high","""Check cooling system."""
"2025-09-25 08:02:00","432","pressure","{""temp"": 48.42838714986777, ""pressure"": 1.1188161046680944, ""vibration"": 0.0346401735886486}","{""temp"": 0.36264851855809654, ""pressure"": 3.530738949642052, ""vibration"": 0.01123240812898075}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.059572","1","high","""Inspect pumps and valves."""
"2025-09-25 08:20:00","450","temp","{""temp"": 35.06968708162274, ""pressure"": 1.0323840837559295, ""vibration"": 0.0326056222409969}","{""temp"": -4.931057743777581, ""pressure"": 0.2955791516201595, ""vibration"": -0.061176728044293596}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.010896","-1","high","""Check cooling system."""
"2025-09-25 08:34:00","464","temp","{""temp"": 37.103106848524234, ""pressure"": 1.0209276597134829, ""vibration"": 0.0258311921902101}","{""temp"": -4.125266244678691, ""pressure"": -0.13323602706089627, ""vibration"": -0.3022768745753301}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.016415","1","high","""Check cooling system."""
"2025-09-25 08:41:00","471","temp","{""temp"": 56.81043106412528, ""pressure"": 0.9935273921153344, ""vibration"": 0.033881035573032}","{""temp"": 3.6842350601673775, ""pressure"": -1.158830977324238, ""vibration"": -0.01578511001355062}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.000006","1","high","""Check cooling system."""
"2025-09-25 09:08:00","498","temp","{""temp"": 34.31757898411978, ""pressure"": 1.031864699288651, ""vibration"": 0.0223251536886792}","{""temp"": -5.229098670317214, ""pressure"": 0.27613853539340666, ""vibration"": -0.427055843451742}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.034232","-1","high","""Check cooling system."""
"2025-09-25 00:50:00","0","model","{""temp"": 49.01310169344043, ""pressure"": 1.016181879836075, ""vibration"": 0.0251521024027008}","{""temp"": 0.5943557224908523, ""pressure"": -0.3108710760579971, ""vibration"": -0.3264454977729683}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.218208","1","",""""""
"2025-09-25 00:51:00","1","model","{""temp"": 47.20354421657758, ""pressure"": 1.0080477800793006, ""vibration"": 0.0317051763922569}","{""temp"": -0.12272495889191871, ""pressure"": -0.6153313009665264, ""vibration"": -0.09322335402565746}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.224683","1","",""""""
"2025-09-25 00:52:00","2","model","{""temp"": 49.35106730908989, ""pressure"": 1.0443846967951187, ""vibration"": 0.0261408524106547}","{""temp"": 0.7282827278789381, ""pressure"": 0.7447633827219214, ""vibration"": -0.29125615047539566}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.206422","1","",""""""
"2025-09-25 00:53:00","3","pressure","{""temp"": 48.48116182585755, ""pressure"": 1.1407869370740136, ""vibration"": 0.0222613898741725}","{""temp"": 0.3835617534801036, ""pressure"": 4.353109559267611, ""vibration"": -0.429325180489056}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.024964","1","","""Inspect pumps and valves."""
"2025-09-25 00:54:00","4","model","{""temp"": 45.45384598132183, ""pressure"": 1.000059298984, ""vibration"": 0.0250142732035338}","{""temp"": -0.8160849757987068, ""pressure"": -0.9143410037830081, ""vibration"": -0.3313508019633273}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.187354","1","",""""""
"2025-09-25 00:55:00","5","vibration","{""temp"": 49.80016351851123, ""pressure"": 1.0310108978238568, ""vibration"": 0.1441230442130433}","{""temp"": 0.9062479044350201, ""pressure"": 0.2441806551397244, ""vibration"": 3.9076983768217044}","True","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","True","0.058778","-1","","""Check bearings and mounting."""
"2025-09-25 00:56:00","6","model","{""temp"": 48.84872864584752, ""pressure"": 1.0468742761910992, ""vibration"": 0.0265817415135002}","{""temp"": 0.5292189481822348, ""pressure"": 0.8379486061016298, ""vibration"": -0.27556502568658164}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.213052","1","",""""""
"2025-09-25 00:57:00","7","model","{""temp"": 48.84516780746619, ""pressure"": 1.0402974963137257, ""vibration"": 0.0371892905153251}","{""temp"": 0.527807880313196, ""pressure"": 0.5917790310393926, ""vibration"": 0.10195479509569987}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.209927","1","",""""""
"2025-09-25 00:58:00","8","model","{""temp"": 45.70712668700907, ""pressure"": 1.0501633080100008, ""vibration"": 0.0293092601039133}","{""temp"": -0.7157164031849257, ""pressure"": 0.9610574192779244, ""vibration"": -0.1784933714094298}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.198033","1","",""""""
"2025-09-25 00:59:00","9","model","{""temp"": 47.36045838992243, ""pressure"": 1.0282204082731483, ""vibration"": 0.0278859710737597}","{""temp"": -0.06054394293667717, ""pressure"": 0.1397323324466048, ""vibration"": -0.22914784583066836}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.226878","1","",""""""
"2025-09-25 01:00:00","10","model","{""temp"": 46.89064326188663, ""pressure"": 1.0368878335914504, ""vibration"": 0.0319797541156865}","{""temp"": -0.2467194894133242, ""pressure"": 0.46415499023247075, ""vibration"": -0.08345120657461896}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.221874","1","",""""""
"2025-09-25 01:01:00","11","model","{""temp"": 49.60520007088744, ""pressure"": 1.0110765824624326, ""vibration"": 0.0143417691269271}","{""temp"": 0.8289889482237061, ""pressure"": -0.5019629034368752, ""vibration"": -0.7111823564162528}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.114138","1","",""""""
"2025-09-25 01:02:00","12","model","{""temp"": 48.264722158334195, ""pressure"": 1.0517670728778403, ""vibration"": 0.0309378088894355}","{""temp"": 0.2977923284961687, ""pressure"": 1.021086510014875, ""vibration"": -0.12053375740813942}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.208630","1","",""""""
"2025-09-25 01:03:00","13","model","{""temp"": 49.08294076079951, ""pressure"": 1.0114517593433991, ""vibration"": 0.0291830729138528}","{""temp"": 0.6220311329982907, ""pressure"": -0.48791999260775437, ""vibration"": -0.18298433962164012}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.225265","1","",""""""
"2025-09-25 01:04:00","14","model","{""temp"": 47.31062570668317, ""pressure"": 1.0385673754984892, ""vibration"": 0.0275853966730224}","{""temp"": -0.08029134245796256, ""pressure"": 0.5270204236609762, ""vibration"": -0.2398452080468189}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.223077","1","",""""""
"2025-09-25 01:05:00","15","model","{""temp"": 45.95305300050237, ""pressure"": 1.0210507150223858, ""vibration"": 0.0274553289583253}","{""temp"": -0.6182621853971288, ""pressure"": -0.12863005367170122, ""vibration"": -0.24447428308890098}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.222827","1","",""""""
"2025-09-25 01:06:00","16","model","{""temp"": 47.73936319826731, ""pressure"": 1.0250094810621897, ""vibration"": 0.0330126959706647}","{""temp"": 0.08960620240062474, ""pressure"": 0.019546983109183267, ""vibration"": -0.046689083307236375}","False","{""temp"": ""outside [-1.7885,1.7780]"", ""pressure"": ""outside [-2.0395,2.0778]"", ""vibration"": ""> 1.2697""}","False","-0.228898","1","",""""""
